topic	weight	words
71	0,09829	liefde hert ziel hart lieven vreugde beminnen zin vol lief liefd iesu smart min rust kracht minnen gemoed deugd zidel 
72	0,04169	zek woord sijn ten recht haer noden laet sal zieden hoog wet ren scene mond oor hand hert waer heen 
73	0,00872	mof kermis let geld toe juffrouw iuffrouw boer roepen toen meysjes juffrou meid tussen haag pleizier meysje thee gat dronken 
74	0,00959	sijn mijnen onder vriend miin ghelijck lief liefelijk hoofd gelijk barsten ben wijn ogen siet stem reuk vriendin scholen mijne 
75	0,10076	heere godt wilt zonde genade ziel kwaad god laet bidden noot helpen ben maken troost mijnen zondaar altijd hart vijand 
76	0,01414	neus heel keel been hola schier kop dol hoofd kom vat poot gat sol zat staart sijn zien zondaar ieder 
77	0,00429	godts hun ramp dijn land wort stad gods heil volk kerk rijk heren zelf lang hemels ziel maraen kruis ooit 
78	0,02224	gods end elk god christi klaar menschen geloof gheest christus heere wees broeders n't zaad vrij zondaar christen enten woord 
79	0,05313	ziel god hert eeuwig gods nog jesus worden alles kom heil zich ach magge kracht hart zoon liefde waar weg 
80	0,09256	godt godts hemels ziel gods eeuwig godes mensch hert zonde heeren christi soon goed mens doden hemel sijn noden vreugde 
81	0,07753	min trouw ach minnen lief zin liefde hert waard vreugde vrouw smart lust hart lieven ziel beminnen sou eens noden 
82	0,31555	god goed mens waar zelf lust waard rust deugd hoog recht alleen vreugde alles wens kwaad gemoed best hert vinden 
83	0,0843	zien roepen denken scheen doe heel nemen lach weer laten schoot slapen heen kennen viel quam lust hand slaap waar 
84	0,01867	zoo god zeer gods christus waard iesus zonder worden waar onz heemels woord christen goed vlees toch geloof goods kerk 
85	0,18573	spreken man voort weer waar toe sou zien nemen mede waer brengen dit tijd geven eerst laten twee ten horen 
86	0,01384	vvant goden daphne comt venus phoebus apollo diana pallas vvilt mars n't flora vvat vvil iuno ceres pan groen deur 
87	0,04626	nog zeer dog heb zoo magge worden weg leggen ben staat tij heel zonder dag dood zoete gelijk vol god 
88	0,01894	hun godt volk woord naar myn heeren hen heil recht zoo elk dag naâm dies goed syn nooit zal hart 
89	0,03607	christus dood vader zonde bloed verrijzen doden soon geloof eeuwig sterven adam vaders heeft ten mens waard zenden vlees graf 
90	0,00231	ich das mein vnnd mir ein mich nitt zei dir sein dich hertz lieb und jch mitt hab dein woll 
91	0,03147	lief liefde venus hart enten minnen haer hert reen trouw vreugde princesse gheen scholen zin heel jong klaar mocht eens 
92	0,04268	spijs brood eten wijn drank drinken water dorst geven honger vlees tafel eed lichaam broden goed voeden smaken dis armen 
93	0,00161	tuk qui mei cum nobis iesu kik mesie non rex nos kick iesv scho mayn quàm gloriae gloria zit ghay 
94	0,00706	alleluia kinnetje herodes geboren lieven ster kind bethlehem waren waar wieroock drie hen offeren klein brengen maria gout klaar zijd 
95	0,1594	ach droef dood sterven pijn smart ziel zucht hert hart tranen verdriet vol klagen lang druk droevig doden rouw zwaar 
96	0,01089	hun godt geven oock kwaad waar vrome vreugde glijck gods wees zieden eeuwig dood vrees sijn nooit volk deese naar 
97	0,00776	hemel nog hert hemels ten maackt oog leggen zich zieden staat sijn ziel lust ligt heyl hoog eeuwig heylig dwaas 
98	0,0028	vous kwee mon les qui poeder plus pour been bon coeur vos belle suizen touwen que brant pas dans sans 
99	0,00624	knecht zondaar tobias lampen heeren wijf soon bruyloft rebecca iacob zoon dochter wees olie aen mede heb jok isaac maaltijd 
