topic	weight	words
117	0,03056	godt godts hert woord mens mensch godes waer doden waar blijven kwaad woordt eeuwig hoop weeg nochtans lijf ding menschen 
118	0,04536	water mens zee hoog vee dier hemel aard vier maken bergen grond over kracht regen alles lucht zingen wind werk 
119	0,0403	spijs brood eten drank drinken wijn dorst honger vlees dit lichaam voeden bloed tafel broden eed geven laven vol spijzen 
120	0,00253	tijdt tuk couragie wit eens enigheid leeuw vangen levertje dief lie bogaert rosamondi rosa cra raken weyman katers isabel cras 
121	0,02839	zich worden naar zelf nooit zeer zal eens weder waar hun wezen zyn zult hen staat tij niets magge nog 
122	0,00331	dijn dij hij god daphne toch bestuyren zes roepen edom worden dijnen boom wij over deernis stralen zek vier selah 
123	0,00739	hun hen stellen spaer verheffen schieten monden hunnen tenten gloed neerwaarts verslondt hoogsten hunn beginsel dogh sleep melden nestor kloot 
124	0,02025	godt sint godes hemels hart haer doden godts goods ziel sijn deugd lof noden geloof kerck vroom aen woord iesu 
125	0,08053	wereld godt vreugde ziel kwaad lust vlees zoeken lusten rust zin god vinden alleen dienen beminnen schijn ijdelheid deugd mens 
126	0,00322	god doop hemel belofte gheest quam ontvangen vervuld vol ten petrus vruchten desen alleyn heeft zulk haer tong godt reen 
127	0,01822	sterven derven doden dood verwerven erven blijven sal boire gunst lang sterfte altijd beërven bederven lieven sterve derf hoop even 
128	0,02961	zee schip varen wind baren ree weer winden schipper zeil water mede land brengen storm boord haven reis heen menig 
129	0,04461	lof prijs loven looft sijn zingen naâm hoog god dank boven werk heere heeren grond goedheid macht mond kracht hemel 
130	0,02428	kind stal mens godt klein geboren kindt moeder arm leed doek kinnetje vinden gheboren bethlehem nacht beest teer brengen sus 
131	0,09099	licht dag gezicht son nacht ogen oog zon hemel glans stralen klaar dalen duister hemels verdwijnen wanneer schijnen schijn ten 
132	0,00313	wiegen geldt patiency alexander trooster tong maet wereld best dochter horen koppen blank kop indien dingen rechte proef klooster ter 
133	0,01008	zoo goods kerk deur waard zeer christus godes nieuw wezen eerst end nae iae christen toe weer hen zonder aen 
134	0,07862	deugd hoog waard vol schoonheid roem glans ieder vreugde lof kroon scholen reden boven wiens waardig gunst goud min leden 
135	0,0022	zien sijn verbetering loeder top keel poot gaede heel dag toer hoofd grond taback neus duizend zat gloria maag franck 
136	0,01147	ach sal min wreed dood trouw borst laura titer laas hemel mede graf voeren straf droef snood n't vaak lucht 
137	0,06642	heere godt bidden dijn wilt ziel vader troost hart noot genade god gheeft helpen altijd helpt heilig maken zonde kwaad 
138	0,10873	god gods geloof mens woord dood kracht waar zelf godes dit waard eigen leer wet ten recht geven werk goed 
139	0,08194	zonde laet ziel jesu siet liefde wilt godt doden hert bloed zondaar komt iesu mens vol eeuwig aen beminnen wonden 
140	0,00097	qui nobis cum non rex nos iesv quàm gloriae quem gloria hic quid dulcis dei natus quam nunc sed quae 
141	0,12859	zien denken roepen laten scheen weer nemen lach haast doe haer wier geven worden heen brengen heel hand viel waren 
142	0,00381	wederom keert keren gevallen weder waer weer sulamite aard biron bijten rug zijt karn molenaar levend zijd bloed baren wonden 
143	0,0122	vrij meysje vrijen vryers vryer trouwen aardig meisje ander minnen meysjes vrijster wagen praat vrijer min deur lust hartje behagen 
144	0,00191	unde mit zijd und werlt roer waerheydt rijck schiet dronck t'is voer dach schoot schieten machmen verblijdt werdt wayman aerden 
145	0,04852	vader moeder kind spreken dochter god man nemen huis geven vaders waar broeder dood brengen goed ten jong bloed laten 
146	0,01405	nieuw iaer nieuwen jaer ster herodes klaar int jaar bethlehem waar gheboren kinnetje wilt iare nieuwe dag voorwaar nieuwejaer waren 
147	0,00136	heyligt brant vro ben tan magge benedicamus wezen domino aangaande zien toereloere borsjens lucht genoeg behoeder ave wesel slecht bos 
148	0,00524	zeer oock zoo ginck dese gods godt worden petrus eerst nae alzo coninck gekomen bekeren zenden syn wort iesus verklaren 
149	0,00229	ich das mein vnnd mir mich ein nitt zei dir sein dich hertz lieb jch mitt hab dein woll hatt 
150	0,00403	boer viva boeren hun daerje werk sou maken oorlof g'heel ieder meest gaar heeren worden altijd dief kunnen edel moeten 
151	0,05587	hert eens gheen min mijnen oft n't liefde ben minnen wees laet naer beminnen toch heel wilt vinden sou t'is 
152	0,04249	liefde lief hart troost pijn enten hert reen zwaar dood vreugde deur heel alleen voorwaar druk dienaar/diener venus verdriet eerbaar 
153	0,01149	comt deur lieffd venus lieffde goden lieff diana reen phoebus apollo pallas pan vol aurora flora cupido groen enten oock 
154	0,04767	klaar reen lof zondaar vreugde hemels scholen deugd boven bruydegom troon wilt haer godts fijn godt wees liefde prijzen zijd 
155	0,00315	vol ach zieden sol n't siet kracht jeucht gans maecht op't trou trots pronckje ent glansje deftig kransje veetje diaen 
156	0,06819	kwaad boos tong haer mens recht spreken vol god vrome zieden tegen vals mond goddeloos hart haat boosheid scene sijn 
157	0,09125	ander zelf elk anders ieder eens eigen weet best maken vriend waar meest goed raad worden woord dienen zaak man 
158	0,00516	tong woorden reden minne foey geil rede venijn zot houden praat achterklap wind gek jong garen praten zede eigen klap 
159	0,00941	adieu jck heb groen scheiden blijven ben vrienden horen liefste lust zoetjes moeten brengen veld botten gerust uyt huis verbeiden 
160	0,03567	godt wilt kwaad zonde godts mens deugd eeuwig zondaar goed oordeel werk tijd doden altijd daerom loon noden bekeren doet 
