83;0,05;tilocblob ocblob blob ilocblob hardertgen yilocblob eenig-lid blijde-tolk ghebore cleynigheyt eens-gezinden menslijkhe’en wat’er d'overledenen t'aerden gwondt ghetals dolori berespt ervinden 
84;0,05;ach ziel och doot tranen pijn sterven droeve verdriet troost doodt droef dees smert suchten graf druck droefheyt hoop lijden 
85;0,05;nog sprak had ging dog quam dag sag dood wierd gelijk mag toe dees toen dese mee kind lang ziet 
86;0,05;vous que mon pour les qui boire bien lette est plus bon tout vos suis dans coeur pas belle mes 
87;0,05;nogh seydt jesus iesus hebben sult dees sijt weesen gaet goodts gelijk weer togh seyde sijne koomen vader goet quam 
88;0,05;quam israel david sprack abraham man volck coninck heere doe huys landt iacob liet eenen heeren knecht ioseph moyses gods 
89;0,05;lof looft loven naem prijsen hemel groote boven heere prijs singen eere onsen hemels sijnen heeren bly soet singt herten 
90;0,05;vee soete dees coridon cloris soet lief harder tyter ach phillis laura groen son groene lieve lust wout schaepjes onder 
91;0,05;hebben stadt quamen prins graef paus binnen bloet lant geusen twee hondert waren goet soldaten volck hadden prince sterck steden 
92;0,05;schoon wit glans schoone leden wiens schoonheyt roos hooft son lof soete roem bloem soet stralen boven root net witte 
93;0,05;vruchten geeft menschen lucht zee hemel water vrucht son vee mensch dieren boomen weer alles bergen gras leeft sterren groeyen 
94;0,05;nae goods deur toe godes ziet zou kerk deze christus werd uit nieuwe weer toch recht iae geloof mee doed 
95;0,05;leuen christus gods woort int god doot heere gheest sonder gheen goet sonden uwen wesen mach bouen inden eewich desen 
96;0,05;ich das mein vnnd mir ein mich nitt ist sei dir sein will dich und hertz lieb von jch mitt 
97;0,05;quam had sagh sprack doe nam riep liet gaf gingh dees weer scheen wiert docht wou sey sou lagh haest 
98;0,05;nog kom gaan zoete uit laat zou gaat jou zoet ziet man wyn zonder geld zeg waar zie word maakt 
99;0,05;neen blinde heen dien waerom eenen komen vos jock blinden keeren leeren sijne loopen verdient seght gaet besien knecht denckt 
