id	top1	top2	top3
14045	topic 24	topic 29	topic 30
9631	topic 13	topic 31	topic 10
34395	topic 26	topic 24	topic 4
147327	topic 21	topic 31	topic 46
193610	topic 48	topic 4	topic 19
160940	topic 38	topic 36	topic 19
117510	topic 16	topic 28	topic 24
9625	topic 15	topic 13	topic 0
14051	topic 12	topic 24	topic 29
34381	topic 39	topic 10	topic 4
10237	topic 14	topic 47	topic 26
189648	topic 29	topic 38	topic 2
2770	topic 17	topic 36	topic 19
26785	topic 6	topic 8	topic 36
19575	topic 36	topic 38	topic 3
36596	topic 4	topic 10	topic 24
4301	topic 2	topic 10	topic 19
163291	topic 10	topic 19	topic 39
19213	topic 9	topic 3	topic 7
4467	topic 21	topic 9	topic 36
164298	topic 34	topic 29	topic 26
3308	topic 21	topic 18	topic 0
11897	topic 18	topic 19	topic 7
20492	topic 10	topic 18	topic 7
9143	topic 10	topic 30	topic 24
6270	topic 38	topic 37	topic 24
118145	topic 28	topic 19	topic 11
35921	topic 4	topic 11	topic 46
13058	topic 7	topic 22	topic 39
176844	topic 0	topic 19	topic 36
22285	topic 6	topic 36	topic 9
116183	topic 28	topic 18	topic 42
35712	topic 42	topic 44	topic 48
7185	topic 9	topic 15	topic 7
176677	topic 31	topic 0	topic 10
166464	topic 47	topic 18	topic 14
114794	topic 28	topic 36	topic 16
162602	topic 30	topic 32	topic 39
2943	topic 33	topic 49	topic 27
21001	topic 16	topic 38	topic 28
187856	topic 28	topic 48	topic 2
185099	topic 42	topic 48	topic 30
100087	topic 39	topic 47	topic 46
176111	topic 49	topic 12	topic 10
35074	topic 29	topic 30	topic 36
118810	topic 28	topic 48	topic 17
184387	topic 35	topic 28	topic 7
9816	topic 13	topic 15	topic 19
100093	topic 23	topic 12	topic 17
176105	topic 49	topic 19	topic 0
161479	topic 13	topic 31	topic 21
13919	topic 34	topic 3	topic 37
184393	topic 28	topic 46	topic 38
9802	topic 13	topic 16	topic 18
155904	topic 48	topic 19	topic 28
21015	topic 17	topic 18	topic 10
2957	topic 16	topic 24	topic 33
113789	topic 19	topic 14	topic 27
114780	topic 16	topic 7	topic 36
165179	topic 8	topic 19	topic 46
11868	topic 27	topic 36	topic 49
4498	topic 9	topic 15	topic 49
114958	topic 48	topic 4	topic 19
164267	topic 30	topic 23	topic 3
116197	topic 28	topic 18	topic 10
35706	topic 42	topic 44	topic 16
185933	topic 38	topic 16	topic 19
34418	topic 5	topic 4	topic 24
176663	topic 13	topic 18	topic 0
111820	topic 28	topic 19	topic 17
10586	topic 37	topic 21	topic 2
11840	topic 18	topic 49	topic 17
20445	topic 18	topic 36	topic 10
36227	topic 4	topic 19	topic 37
14938	topic 3	topic 34	topic 24
178666	topic 35	topic 36	topic 16
22252	topic 6	topic 9	topic 19
160029	topic 27	topic 16	topic 8
34430	topic 1	topic 4	topic 7
118192	topic 27	topic 10	topic 38
111808	topic 38	topic 24	topic 14
7807	topic 46	topic 10	topic 28
34356	topic 37	topic 29	topic 4
130178	topic 38	topic 11	topic 19
13931	topic 40	topic 15	topic 3
32727	topic 4	topic 42	topic 5
153385	topic 46	topic 13	topic 21
26752	topic 9	topic 0	topic 6
113979	topic 4	topic 48	topic 5
36541	topic 5	topic 1	topic 0
30130	topic 0	topic 6	topic 18
26746	topic 6	topic 8	topic 13
21029	topic 36	topic 28	topic 18
163252	topic 34	topic 11	topic 39
7813	topic 18	topic 25	topic 49
161445	topic 17	topic 37	topic 27
34342	topic 39	topic 4	topic 47
116815	topic 25	topic 38	topic 11
118838	topic 28	topic 36	topic 18
157691	topic 42	topic 40	topic 30
22246	topic 6	topic 15	topic 8
178672	topic 35	topic 49	topic 7
9180	topic 39	topic 14	topic 1
34424	topic 1	topic 44	topic 19
24637	topic 9	topic 6	topic 31
165145	topic 24	topic 25	topic 38
10592	topic 2	topic 48	topic 29
11854	topic 27	topic 18	topic 46
20451	topic 18	topic 10	topic 0
36233	topic 4	topic 49	topic 14
26020	topic 13	topic 19	topic 18
173860	topic 38	topic 27	topic 19
189072	topic 8	topic 49	topic 19
114623	topic 4	topic 44	topic 46
186341	topic 24	topic 38	topic 27
3254	topic 37	topic 17	topic 28
180730	topic 7	topic 36	topic 28
116034	topic 28	topic 0	topic 46
119307	topic 34	topic 23	topic 11
13104	topic 40	topic 13	topic 42
118019	topic 28	topic 35	topic 25
29	topic 38	topic 39	topic 16
159045	topic 37	topic 48	topic 39
9779	topic 13	topic 19	topic 27
100130	topic 39	topic 36	topic 26
116752	topic 38	topic 34	topic 29
19429	topic 24	topic 7	topic 36
3532	topic 14	topic 21	topic 48
4249	topic 2	topic 12	topic 0
3526	topic 21	topic 14	topic 37
11061	topic 21	topic 18	topic 31
189700	topic 35	topic 49	topic 28
26815	topic 13	topic 9	topic 31
159051	topic 11	topic 30	topic 3
32860	topic 40	topic 15	topic 9
14119	topic 32	topic 13	topic 9
7998	topic 49	topic 27	topic 19
100124	topic 24	topic 38	topic 30
12568	topic 7	topic 18	topic 19
106233	topic 23	topic 12	topic 24
116020	topic 28	topic 18	topic 10
13110	topic 22	topic 19	topic 24
35869	topic 46	topic 4	topic 39
1457	topic 16	topic 19	topic 27
6338	topic 21	topic 32	topic 0
130781	topic 11	topic 30	topic 29
191629	topic 11	topic 30	topic 38
3240	topic 36	topic 33	topic 13
115529	topic 39	topic 47	topic 23
180724	topic 13	topic 15	topic 31
35699	topic 44	topic 19	topic 18
158401	topic 13	topic 31	topic 24
35841	topic 48	topic 39	topic 49
13138	topic 19	topic 22	topic 37
9023	topic 0	topic 6	topic 36
14657	topic 5	topic 49	topic 24
34587	topic 19	topic 7	topic 18
6310	topic 29	topic 34	topic 28
191601	topic 3	topic 38	topic 47
2176	topic 39	topic 38	topic 36
3268	topic 5	topic 28	topic 16
162951	topic 47	topic 0	topic 44
19373	topic 9	topic 49	topic 19
19415	topic 24	topic 27	topic 7
11049	topic 18	topic 21	topic 19
115267	topic 49	topic 7	topic 36
10357	topic 14	topic 10	topic 38
2610	topic 27	topic 46	topic 16
9745	topic 13	topic 12	topic 40
14131	topic 19	topic 9	topic 36
32848	topic 9	topic 40	topic 31
15	topic 39	topic 38	topic 18
159079	topic 31	topic 21	topic 13
118743	topic 48	topic 36	topic 18
185112	topic 10	topic 30	topic 7
32690	topic 26	topic 10	topic 3
23945	topic 15	topic 0	topic 42
12540	topic 7	topic 15	topic 13
13886	topic 34	topic 39	topic 41
14125	topic 13	topic 0	topic 21
9751	topic 13	topic 0	topic 15
100118	topic 38	topic 25	topic 10
118757	topic 18	topic 36	topic 0
117464	topic 36	topic 25	topic 27
185106	topic 28	topic 1	topic 30
23951	topic 0	topic 31	topic 21
32684	topic 24	topic 29	topic 39
9989	topic 0	topic 46	topic 37
12554	topic 7	topic 18	topic 15
13892	topic 12	topic 24	topic 39
4275	topic 2	topic 48	topic 10
154549	topic 38	topic 39	topic 23
115273	topic 12	topic 17	topic 19
10343	topic 24	topic 47	topic 35
30093	topic 49	topic 27	topic 10
2604	topic 16	topic 46	topic 24
113602	topic 14	topic 21	topic 3
20280	topic 39	topic 36	topic 48
155131	topic 12	topic 24	topic 29
186369	topic 38	topic 47	topic 37
2162	topic 38	topic 39	topic 10
191615	topic 3	topic 30	topic 38
153540	topic 29	topic 3	topic 10
162945	topic 31	topic 0	topic 21
19367	topic 9	topic 21	topic 0
180718	topic 13	topic 2	topic 10
157726	topic 47	topic 10	topic 39
118031	topic 28	topic 36	topic 21
35855	topic 48	topic 4	topic 36
6304	topic 39	topic 38	topic 28
34593	topic 26	topic 29	topic 24
1480	topic 26	topic 3	topic 11
34578	topic 47	topic 12	topic 4
176703	topic 0	topic 31	topic 3
185853	topic 5	topic 31	topic 9
35666	topic 44	topic 18	topic 37
111798	topic 28	topic 35	topic 49
184595	topic 0	topic 48	topic 4
14870	topic 47	topic 37	topic 14
191826	topic 0	topic 12	topic 18
174114	topic 16	topic 19	topic 18
11908	topic 18	topic 24	topic 16
2189	topic 38	topic 10	topic 24
21175	topic 39	topic 14	topic 23
2837	topic 45	topic 21	topic 12
164461	topic 27	topic 18	topic 4
9962	topic 5	topic 13	topic 3
13879	topic 3	topic 29	topic 11
129561	topic 29	topic 26	topic 28
7797	topic 18	topic 36	topic 42
116785	topic 28	topic 42	topic 17
9976	topic 14	topic 3	topic 11
7783	topic 40	topic 49	topic 0
129575	topic 3	topic 37	topic 30
118970	topic 11	topic 3	topic 34
183588	topic 30	topic 39	topic 32
28623	topic 7	topic 29	topic 32
102928	topic 29	topic 24	topic 34
2823	topic 2	topic 45	topic 15
21161	topic 12	topic 18	topic 7
164475	topic 13	topic 27	topic 46
112285	topic 38	topic 23	topic 47
20519	topic 46	topic 18	topic 10
162762	topic 48	topic 17	topic 31
100	topic 2	topic 21	topic 29
1494	topic 19	topic 2	topic 29
176717	topic 13	topic 31	topic 46
35672	topic 46	topic 44	topic 18
185847	topic 1	topic 0	topic 48
25461	topic 9	topic 40	topic 1
162992	topic 11	topic 30	topic 3
114804	topic 16	topic 27	topic 35
11934	topic 18	topic 16	topic 7
20531	topic 18	topic 36	topic 27
128	topic 2	topic 21	topic 0
35882	topic 48	topic 10	topic 4
178712	topic 35	topic 49	topic 36
159904	topic 42	topic 0	topic 27
121101	topic 23	topic 12	topic 29
12583	topic 18	topic 49	topic 17
157097	topic 7	topic 25	topic 3
13845	topic 27	topic 47	topic 5
9786	topic 13	topic 31	topic 19
34222	topic 39	topic 48	topic 2
116975	topic 28	topic 5	topic 17
118780	topic 29	topic 38	topic 19
30044	topic 6	topic 49	topic 18
20257	topic 2	topic 21	topic 48
21149	topic 12	topic 14	topic 8
26626	topic 13	topic 16	topic 9
61579	topic 38	topic 28	topic 10
10380	topic 23	topic 36	topic 14
30050	topic 6	topic 19	topic 7
20243	topic 2	topic 19	topic 12
155694	topic 31	topic 46	topic 21
162038	topic 19	topic 10	topic 4
113819	topic 14	topic 21	topic 25
12597	topic 18	topic 7	topic 8
22454	topic 9	topic 0	topic 4
157083	topic 39	topic 10	topic 36
9792	topic 13	topic 27	topic 46
161531	topic 3	topic 30	topic 34
34236	topic 37	topic 47	topic 12
35896	topic 5	topic 48	topic 24
14680	topic 10	topic 5	topic 15
161257	topic 1	topic 49	topic 12
34550	topic 24	topic 36	topic 47
114810	topic 36	topic 16	topic 19
152845	topic 28	topic 17	topic 42
163440	topic 30	topic 3	topic 11
11920	topic 18	topic 19	topic 8
20525	topic 10	topic 18	topic 7
189099	topic 8	topic 13	topic 0
191359	topic 49	topic 33	topic 27
175975	topic 49	topic 36	topic 19
3730	topic 8	topic 28	topic 49
180254	topic 30	topic 3	topic 26
15011	topic 0	topic 48	topic 10
178289	topic 1	topic 31	topic 46
33968	topic 40	topic 19	topic 36
6890	topic 0	topic 49	topic 6
116550	topic 28	topic 3	topic 38
183985	topic 36	topic 10	topic 12
192650	topic 27	topic 5	topic 49
182443	topic 18	topic 31	topic 15
156174	topic 27	topic 15	topic 7
117128	topic 28	topic 19	topic 10
13306	topic 42	topic 36	topic 48
8103	topic 19	topic 8	topic 13
1899	topic 19	topic 48	topic 14
7230	topic 19	topic 13	topic 32
4739	topic 22	topic 16	topic 18
112050	topic 28	topic 36	topic 48
11511	topic 39	topic 7	topic 27
20914	topic 44	topic 39	topic 19
2348	topic 48	topic 9	topic 2
163871	topic 32	topic 49	topic 7
112044	topic 28	topic 19	topic 35
11505	topic 3	topic 39	topic 24
20900	topic 44	topic 19	topic 27
13312	topic 3	topic 42	topic 23
116222	topic 28	topic 46	topic 17
184740	topic 38	topic 39	topic 25
8117	topic 5	topic 31	topic 19
7224	topic 34	topic 11	topic 3
15005	topic 0	topic 10	topic 7
116544	topic 28	topic 19	topic 36
6884	topic 1	topic 13	topic 21
118569	topic 49	topic 12	topic 35
183991	topic 27	topic 18	topic 10
149040	topic 13	topic 18	topic 3
175961	topic 49	topic 36	topic 8
3724	topic 8	topic 36	topic 37
157256	topic 14	topic 12	topic 49
33954	topic 40	topic 7	topic 19
12742	topic 24	topic 39	topic 16
32492	topic 39	topic 48	topic 21
185310	topic 17	topic 30	topic 1
8881	topic 6	topic 49	topic 19
9547	topic 37	topic 36	topic 48
155441	topic 27	topic 7	topic 5
20096	topic 25	topic 29	topic 3
191365	topic 36	topic 49	topic 33
38801	topic 46	topic 1	topic 21
40762	topic 45	topic 49	topic 32
21388	topic 31	topic 9	topic 46
19617	topic 38	topic 34	topic 39
163695	topic 21	topic 14	topic 37
36192	topic 4	topic 36	topic 13
4705	topic 22	topic 16	topic 18
20928	topic 44	topic 46	topic 21
2374	topic 9	topic 18	topic 10
191403	topic 49	topic 7	topic 3
10633	topic 21	topic 19	topic 29
52400	topic 18	topic 3	topic 19
118227	topic 18	topic 16	topic 19
12024	topic 1	topic 5	topic 31
157530	topic 12	topic 3	topic 49
6106	topic 1	topic 19	topic 18
117100	topic 38	topic 27	topic 29
118233	topic 13	topic 31	topic 48
7218	topic 32	topic 19	topic 0
158617	topic 49	topic 0	topic 47
160388	topic 31	topic 13	topic 19
112078	topic 28	topic 49	topic 17
4711	topic 22	topic 18	topic 19
36186	topic 46	topic 13	topic 4
115717	topic 2	topic 3	topic 24
11539	topic 49	topic 48	topic 18
191417	topic 7	topic 36	topic 19
2360	topic 48	topic 2	topic 9
10627	topic 2	topic 48	topic 15
155333	topic 27	topic 7	topic 17
20082	topic 14	topic 23	topic 37
2406	topic 2	topic 46	topic 14
191371	topic 36	topic 16	topic 17
165596	topic 32	topic 7	topic 24
3718	topic 8	topic 49	topic 40
40776	topic 45	topic 12	topic 15
19603	topic 41	topic 30	topic 34
33940	topic 40	topic 19	topic 24
15039	topic 32	topic 28	topic 25
12756	topic 18	topic 27	topic 46
32486	topic 39	topic 4	topic 14
185304	topic 40	topic 0	topic 3
117666	topic 30	topic 3	topic 29
8895	topic 6	topic 49	topic 20
9553	topic 37	topic 7	topic 24
192693	topic 38	topic 47	topic 24
23560	topic 1	topic 40	topic 49
12965	topic 46	topic 10	topic 24
176267	topic 14	topic 12	topic 17
160405	topic 24	topic 26	topic 11
35302	topic 18	topic 1	topic 5
116593	topic 36	topic 28	topic 7
6853	topic 42	topic 18	topic 48
21377	topic 31	topic 9	topic 40
20069	topic 7	topic 28	topic 25
38626	topic 39	topic 10	topic 48
27060	topic 18	topic 9	topic 7
115924	topic 24	topic 41	topic 12
10814	topic 24	topic 29	topic 21
21411	topic 31	topic 9	topic 24
3095	topic 39	topic 16	topic 23
22118	topic 6	topic 7	topic 9
184783	topic 4	topic 5	topic 1
25663	topic 13	topic 19	topic 0
147910	topic 47	topic 27	topic 39
176515	topic 39	topic 19	topic 24
27074	topic 32	topic 9	topic 15
115930	topic 47	topic 39	topic 19
36179	topic 42	topic 4	topic 36
21405	topic 9	topic 21	topic 13
3081	topic 17	topic 18	topic 33
40789	topic 45	topic 18	topic 4
21363	topic 31	topic 9	topic 18
38632	topic 39	topic 3	topic 10
188807	topic 19	topic 42	topic 27
192687	topic 34	topic 38	topic 24
117699	topic 28	topic 36	topic 42
130226	topic 12	topic 30	topic 34
34008	topic 24	topic 39	topic 4
176273	topic 14	topic 39	topic 27
12971	topic 14	topic 23	topic 38
117841	topic 36	topic 19	topic 0
35316	topic 26	topic 19	topic 25
32479	topic 14	topic 19	topic 1
6847	topic 0	topic 19	topic 27
116587	topic 10	topic 36	topic 27
186802	topic 7	topic 27	topic 35
36637	topic 4	topic 19	topic 3
20055	topic 23	topic 7	topic 39
118582	topic 19	topic 36	topic 37
8842	topic 6	topic 19	topic 8
12959	topic 34	topic 11	topic 3
34020	topic 40	topic 7	topic 24
117869	topic 36	topic 40	topic 42
12781	topic 18	topic 16	topic 7
1866	topic 39	topic 46	topic 38
22124	topic 6	topic 0	topic 9
161041	topic 39	topic 24	topic 23
14496	topic 18	topic 1	topic 46
20733	topic 45	topic 40	topic 42
115918	topic 23	topic 19	topic 3
36151	topic 46	topic 4	topic 10
29071	topic 9	topic 15	topic 26
27048	topic 9	topic 32	topic 19
20727	topic 42	topic 44	topic 48
21439	topic 9	topic 37	topic 21
36145	topic 18	topic 46	topic 4
26356	topic 13	topic 18	topic 9
22130	topic 49	topic 6	topic 1
1872	topic 10	topic 39	topic 18
176529	topic 14	topic 12	topic 34
14482	topic 1	topic 19	topic 40
8856	topic 15	topic 6	topic 3
118596	topic 16	topic 49	topic 28
34034	topic 40	topic 25	topic 3
23548	topic 31	topic 0	topic 13
151828	topic 3	topic 5	topic 0
33983	topic 40	topic 48	topic 18
157281	topic 48	topic 10	topic 27
12795	topic 12	topic 18	topic 26
36623	topic 4	topic 16	topic 3
186816	topic 36	topic 35	topic 24
155496	topic 7	topic 17	topic 36
164893	topic 0	topic 19	topic 1
154950	topic 38	topic 23	topic 49
1873	topic 24	topic 14	topic 19
22131	topic 6	topic 9	topic 0
156820	topic 28	topic 10	topic 15
26357	topic 13	topic 0	topic 31
153780	topic 11	topic 30	topic 29
36144	topic 5	topic 46	topic 4
21438	topic 9	topic 10	topic 46
27049	topic 9	topic 7	topic 31
20040	topic 14	topic 13	topic 37
36622	topic 4	topic 16	topic 18
186817	topic 36	topic 35	topic 38
26431	topic 32	topic 13	topic 21
12794	topic 27	topic 18	topic 36
33982	topic 40	topic 48	topic 19
23549	topic 40	topic 9	topic 0
34035	topic 40	topic 39	topic 3
8857	topic 6	topic 7	topic 0
12780	topic 18	topic 7	topic 13
160438	topic 40	topic 3	topic 42
12958	topic 34	topic 11	topic 23
34021	topic 40	topic 42	topic 19
118583	topic 17	topic 48	topic 10
8843	topic 6	topic 49	topic 37
20054	topic 29	topic 24	topic 19
186803	topic 35	topic 12	topic 37
36636	topic 4	topic 3	topic 39
26425	topic 9	topic 13	topic 0
26343	topic 6	topic 7	topic 37
164138	topic 30	topic 11	topic 3
36150	topic 10	topic 39	topic 4
115919	topic 12	topic 31	topic 47
20732	topic 40	topic 44	topic 19
162549	topic 30	topic 11	topic 3
14497	topic 1	topic 10	topic 44
