	id	dominant_topic	perc_contribution
190	191991	42	0.38811415100608143
191	180644	17	0.27730300838922967
192	190457	6	0.458572156211101
193	115449	4	0.3264900821159024
194	189106	42	0.48157416782143914
195	114757	0	0.5854837556462131
196	173914	0	0.6610716200321549
197	13070	13	0.27162842718086705
198	35909	40	0.4591013508955921
199	1537	28	0.2527575582559081
200	184422	30	0.5741615528881491
201	119273	0	0.41674143232282623
202	7146	37	0.4521010405268734
203	178699	44	0.8175566886511905
204	184344	0	0.42049509647454025
205	116626	18	0.3349448105520553
206	119515	48	0.40590755550654606
207	149322	35	0.5787465740580059
208	117538	0	0.8480193051691958
209	192526	18	0.6506231080484323
210	130187	49	0.5654208503730433
211	156202	13	0.3259491813077012
212	5037	21	0.31006702380938456
213	26975	20	0.9566181606353443
214	2758	4	0.22949277199909385
215	189660	30	0.7756486928633999
216	114031	3	0.7562452477570696
217	3446	47	0.9094995887327889
218	2980	35	0.6214031571033799
219	180122	0	0.7522857427161147
220	4329	8	0.3468478031309409
221	187881	33	0.47764325738265134
222	5023	21	0.49265558962297595
223	187659	42	0.2768411305959091
224	2994	29	0.4116106706022416
225	19549	49	0.513260545506268
226	150667	35	0.45442884541104456
227	184350	49	0.36942981179622403
228	119501	49	0.6701702162048025
229	192532	18	0.27654328241760434
230	100050	49	0.45206427863610804
231	130193	49	0.4035357317710487
232	9619	26	0.5479976357446538
233	156570	18	0.6074555721397431
234	185728	3	0.3652101016639139
235	13064	22	0.3545896229957046
236	1523	29	0.4513187938158408
237	184436	30	0.26406705058878877
238	7152	27	0.38282128369753776
239	180650	26	0.42959592198854063
240	3334	41	0.5399835925695264
241	190443	12	0.3810057455943158
242	21968	25	0.3210454199512824
243	114743	0	0.4784282092584773
244	173900	0	0.6261485547222424
245	9157	30	0.4265824364940925
246	6264	3	0.5533125666778288
247	176688	21	0.38954510895042577
248	117262	49	0.5528115304780014
249	185700	39	0.31990415080510154
250	35935	26	0.24492928853575596
251	147455	32	0.3582182580897225
252	176850	21	0.5189786975933993
253	53468	49	0.46115245987520015
254	22291	24	0.2751476640888124
255	4473	24	0.3883085571405285
256	19207	24	0.6020245094555401
257	180678	39	0.34990887613210836
258	191775	4	0.9392978937597494
259	11883	31	0.752755388474926
260	20486	21	0.5266111100549937
261	10223	43	0.6153029396113271
262	2764	39	0.32513774479782476
263	4315	27	0.21831160568151
264	36582	43	0.6465147182387762
265	19561	8	0.35980560252451327
266	163285	3	0.6364964195533651
267	157120	21	0.3279888423803002
268	158213	1	0.6128951805396137
269	147333	18	0.903618565189545
270	184378	9	0.378263810267936
271	100078	32	0.3224803116109433
272	117504	46	0.5825331923100742
273	24186	6	0.4393850047834918
274	14045	13	0.5018236310984899
275	9631	42	0.5528773857886682
276	34395	13	0.31597278200314793
277	147327	42	0.45345674666022595
278	193610	40	0.5143455190000714
279	160940	49	0.8807624512431109
280	117510	0	0.9081979750436894
281	9625	37	0.6210458311741746
282	14051	31	0.3830958684438486
283	34381	3	0.46152059713363425
284	10237	8	0.31248832186768805
285	189648	49	0.5851407207974602
286	2770	39	0.5337570137910411
287	26785	25	0.6710216828723915
288	19575	49	0.6248140553600243
289	36596	40	0.5555254043496973
290	4301	29	0.5013565164173481
291	163291	3	0.4122140922020075
