	incnormid	recordid	bronid	w_g	herdrukid	year	top1	top2	top3
114	261.0	115755	1001164	wereldlijk		1694.0	topic 25	topic 3	topic 10
115	261.0	147569	1001829	wereldlijk		1746.0	topic 25	topic 3	topic 10
116	261.0	166902	1004274	wereldlijk		1700.0	topic 25	topic 3	topic 10
117	261.0	147565	1016224	wereldlijk en geestelijk		1730.0	topic 25	topic 3	topic 10
118	262.0	19188	1001531	geestelijk	909270.0	1577.0	topic 31	topic 48	topic 7
119	262.0	21285	1000082	geestelijk	900679.0	1563.0	topic 31	topic 48	topic 7
120	262.0	21285	1000427	geestelijk	900905.0	1580.0	topic 31	topic 48	topic 7
121	262.0	28544	1006709	geestelijk		1585.0	topic 31	topic 48	topic 7
122	262.0	21285	1000131	geestelijk	900906.0	1595.0	topic 31	topic 48	topic 7
123	262.0	118228	1001323	geestelijk		1732.0	topic 31	topic 48	topic 7
124	262.0	19188	1000092	geestelijk	902942.0	1589.0	topic 31	topic 48	topic 7
125	262.0	176625	1016078	wereldlijk		1683.0	topic 31	topic 48	topic 7
126	262.0	188992	1016327	geestelijk		1609.0	topic 31	topic 48	topic 7
127	262.0	5095	1000371	geestelijk		1591.0	topic 31	topic 48	topic 7
128	262.0	19188	1000077	geestelijk		1552.0	topic 31	topic 48	topic 7
129	262.0	21285	1000079	geestelijk		1558.0	topic 31	topic 48	topic 7
130	262.0	19188	1000451	geestelijk	907968.0	1600.0	topic 31	topic 48	topic 7
131	262.0	148208	1001307	geestelijk		1700.0	topic 31	topic 48	topic 7
132	262.0	19188	1000094	geestelijk	907647.0	1596.0	topic 31	topic 48	topic 7
133	262.0	19188	1000090	geestelijk	902941.0	1580.0	topic 31	topic 48	topic 7
134	262.0	19188	1000089	geestelijk	906303.0	1579.0	topic 31	topic 48	topic 7
135	262.0	19188	1000091	geestelijk	905013.0	1582.0	topic 31	topic 48	topic 7
136	262.0	19188	1000096	geestelijk	902945.0	1599.0	topic 31	topic 48	topic 7
137	262.0	19188	1000093	geestelijk	902944.0	1593.0	topic 31	topic 48	topic 7
138	262.0	19188	1000557	geestelijk	902943.0	1591.0	topic 31	topic 48	topic 7
139	262.0	19188	1000344	geestelijk	907173.0	1582.0	topic 31	topic 48	topic 7
140	262.0	19188	1000088	geestelijk	902940.0	1579.0	topic 31	topic 48	topic 7
141	262.0	19188	1000087	geestelijk	902683.0	1577.0	topic 31	topic 48	topic 7
142	262.0	19188	1000084	geestelijk	902346.0	1569.0	topic 31	topic 48	topic 7
143	262.0	19188	1000083	geestelijk	900209.0	1566.0	topic 31	topic 48	topic 7
144	262.0	19188	1000078	geestelijk	900001.0	1556.0	topic 31	topic 48	topic 7
145	262.0	8037	1000773	geestelijk		1644.0	topic 31	topic 48	topic 7
146	262.0	5095	1001302	geestelijk	911864.0	1632.0	topic 31	topic 48	topic 7
147	262.0	5095	1000215	geestelijk	901637.0	1592.0	topic 31	topic 48	topic 7
148	263.0	23679	1000222	geestelijk		1597.0	topic 31	topic 3	topic 24
149	263.0	21611	1000128	geestelijk		1562.0	topic 31	topic 3	topic 24
150	263.0	8039	1000773	geestelijk		1644.0	topic 31	topic 3	topic 24
151	263.0	21611	1000129	geestelijk	901985.0	1583.0	topic 31	topic 3	topic 24
152	265.0	118230	1001323	geestelijk		1732.0	topic 18	topic 31	topic 0
153	265.0	147586	1001890	geestelijk	922074.0	1657.0	topic 18	topic 31	topic 0
154	265.0	147586	1017294	geestelijk	922258.0	1636.0	topic 18	topic 31	topic 0
155	265.0	148209	1001307	geestelijk		1700.0	topic 18	topic 31	topic 0
156	265.0	147586	1016189	geestelijk		1624.0	topic 18	topic 31	topic 0
157	266.0	185419	1001737	geestelijk	918951.0	1657.0	topic 19	topic 16	topic 7
158	266.0	185419	1016183	geestelijk		1631.0	topic 19	topic 16	topic 7
159	267.0	27766	1000558	wereldlijk		1578.0	topic 32	topic 31	topic 2
160	267.0	27766	1016877	wereldlijk	926603.0	1683.0	topic 32	topic 31	topic 2
161	267.0	27766	1017015	wereldlijk	926352.0	1616.0	topic 32	topic 31	topic 2
162	267.0	27766	1008570	wereldlijk	926446.0	1601.0	topic 32	topic 31	topic 2
163	269.0	147588	1004249			1663.0	topic 24	topic 11	topic 19
164	272.0	192958	1017318	wereldlijk		1744.0	topic 30	topic 3	topic 10
165	272.0	147590	1004274	wereldlijk		1700.0	topic 30	topic 3	topic 10
166	272.0	147593	1001829	wereldlijk		1746.0	topic 30	topic 3	topic 10
167	272.0	182174	1016294	wereldlijk	917550.0	1746.0	topic 30	topic 3	topic 10
168	272.0	182174	1016495	wereldlijk		1737.0	topic 30	topic 3	topic 10
169	277.0	22983	1000207	geestelijk		1593.0	topic 13	topic 0	topic 31
170	277.0	192762	1001607	geestelijk		1625.0	topic 13	topic 0	topic 31
171	277.0	147600	1010006	geestelijk		1604.0	topic 13	topic 0	topic 31
172	277.0	22983	1000208	geestelijk	901504.0	1598.0	topic 13	topic 0	topic 31
173	281.0	21591	1000197	geestelijk	908994.0	1596.0	topic 9	topic 15	topic 31
174	281.0	21591	1000196	geestelijk		1582.0	topic 9	topic 15	topic 31
175	284.0	33520	1011034	geestelijk		1614.0	topic 15	topic 9	topic 40
176	285.0	19200	1000078	geestelijk	900480.0	1556.0	topic 9	topic 31	topic 19
177	285.0	21295	1000082	geestelijk	900689.0	1563.0	topic 9	topic 31	topic 19
178	285.0	21295	1000427	geestelijk	900923.0	1580.0	topic 9	topic 31	topic 19
179	285.0	21295	1000131	geestelijk	900924.0	1595.0	topic 9	topic 31	topic 19
180	285.0	19200	1000077	geestelijk		1552.0	topic 9	topic 31	topic 19
181	285.0	21295	1000079	geestelijk		1558.0	topic 9	topic 31	topic 19
182	292.0	27830	1000020	wereldlijk en geestelijk		1581.0	topic 9	topic 21	topic 0
183	292.0	147606	1015944	wereldlijk		1568.0	topic 9	topic 21	topic 0
184	292.0	30304	1006734	wereldlijk		1564.0	topic 9	topic 21	topic 0
185	292.0	27830	1017713	wereldlijk en geestelijk	929098.0	1620.0	topic 9	topic 21	topic 0
186	292.0	27830	1015659	wereldlijk en geestelijk	929057.0	1614.0	topic 9	topic 21	topic 0
